professor_name,institution,n_papers,top_factories,top_keywords,top_papers,prof_text
Jie Feng,UIUC,20,"['Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems']","['heparin binding', 'necrotizing enterocolitis', 'hirschsprung disease', 'growth factor', 'pathogenesis ibds', 'pathogenesis osteosarcoma', 'enterocolitis neonatal', 'implantable piezoelectric', 'intestinal apoptosis', 'hydrogel nanogenerators']","['Signaling pathways associated with inflammatory bowel disease.', 'Review of the molecular pathogenesis of osteosarcoma.', 'Heparin-binding epidermal growth factor-like growth factor decreases the incidence of necrotizing enterocolitis in neonatal rats.']","Research areas: Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems. Key topics: heparin binding, necrotizing enterocolitis, hirschsprung disease, growth factor, pathogenesis ibds, pathogenesis osteosarcoma. Representative papers: Signaling pathways associated with inflammatory bowel disease.."
Jorge E. Correa,UIUC,20,"['Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems']","['programa hanseniase', 'estresse abstract_missing_fallback_to_title', 'sistemas producao', 'esterilização método', 'sonolencia diurna', 'estudo avaliativo', 'ocorrência diversidade', 'experiência subjetivação', 'coronavirus sars', 'doses zinco']","['Hanseníase e Atenção Primária à Saúde: uma avaliação de estrutura do programa', 'Evolução histórica do conceito de estresse', 'Sistemas de produção no controle de plantas daninhas em culturas anuais no Cerrado Piauiense']","Research areas: Systems, Education & Interdisciplinary, Biomedical & Biomechanical Engineering, Robotics & Intelligent Systems. Key topics: programa hanseniase, estresse abstract_missing_fallback_to_title, sistemas producao, esterilização método, sonolencia diurna, estudo avaliativo. Representative papers: Hanseníase e Atenção Primária à Saúde: uma avaliação de estrutura do programa."
Joseph Bentsman,UIUC,20,"['Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Biomedical & Biomechanical Engineering', 'Thermal-Fluid & Transport Phenomena']","['vibrational controllability', 'averaged model', 'lyapunov functions', 'repetitive controller', 'boiler modeling', 'adaptive control', 'spray cooling', 'differential delay', 'robust industrial', 'control degradation']","['On the use of averaging for the analysis of power electronic systems', 'Lyapunov-Based Control of Mechanical Systems', 'Rejection of unknown periodic load disturbances in continuous steel casting process using learning repetitive control approach']","Research areas: Robotics & Intelligent Systems, Advanced Manufacturing & Devices, Biomedical & Biomechanical Engineering. Key topics: vibrational controllability, averaged model, lyapunov functions, repetitive controller, boiler modeling, adaptive control. Representative papers: On the use of averaging for the analysis of power electronic systems."
Justin Yim,UIUC,20,"['Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Thermal-Fluid & Transport Phenomena']","['soft robots', 'electrostatic footpads', 'robotic leaping', 'agile quadrupedal', 'monopedal robot', 'angle landing', 'locomotion abstract_missing_fallback_to_title', 'agile insect', 'precision obtained', 'sdk stack']","['Insect-scale fast moving and ultrarobust soft robot', 'Robotic vertical jumping agility via series-elastic power modulation', 'Electrostatic footpads enable agile insect-scale soft robots with trajectory control']","Research areas: Robotics & Intelligent Systems, Advanced Manufacturing & Devices, Thermal-Fluid & Transport Phenomena. Key topics: soft robots, electrostatic footpads, robotic leaping, agile quadrupedal, monopedal robot, angle landing. Representative papers: Insect-scale fast moving and ultrarobust soft robot."
Kathryn H Matlack,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Biomedical & Biomechanical Engineering']","['abstract_missing_fallback_to_title', 'acoustic metamaterials', 'phononic crystals', 'nonlinear rayleigh', 'second harmonic', 'metamaterials discrete', 'nonlinear ultrasonic', 'lattices bending', 'lamb waves', 'corrosion cracking']","['Composite 3D-printed metastructures for low-frequency and broadband vibration absorption', 'Review of Second Harmonic Generation Measurement Techniques for Material State Determination in Metals', 'Designing perturbative metamaterials from discrete models']","Research areas: Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics, Robotics & Intelligent Systems. Key topics: abstract_missing_fallback_to_title, acoustic metamaterials, phononic crystals, nonlinear rayleigh, second harmonic, metamaterials discrete. Representative papers: Composite 3D-printed metastructures for low-frequency and broadband vibration absorption."
Ke Tang,UIUC,20,"['Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary']","['abstract_missing_fallback_to_title', 'cooperative coevolution', 'objective evolutionary', 'benchmark functions', 'coevolution abstract_missing_fallback_to_title', 'optimization abstract_missing_fallback_to_title', 'network interpretability', 'algorithms multiobjective', 'adaptive nsde', 'multilevel cooperative']","['Large scale evolutionary optimization using cooperative coevolution', ""Benchmark Functions for the CEC'2013 Special Session and Competition on Large-Scale Global Optimization"", 'A Survey on Neural Network Interpretability']","Research areas: Robotics & Intelligent Systems, Advanced Manufacturing & Devices, Systems, Education & Interdisciplinary. Key topics: abstract_missing_fallback_to_title, cooperative coevolution, objective evolutionary, benchmark functions, coevolution abstract_missing_fallback_to_title, optimization abstract_missing_fallback_to_title. Representative papers: Large scale evolutionary optimization using cooperative coevolution."
Kellie M. Halloran,UIUC,20,"['Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering']","['training hiit', 'wheelchair users', 'abstract_missing_fallback_to_title', 'shoulder handcycling', 'gender shoulder', 'wheelchair handcycling', 'handcycling exercise', 'sports assessment', 'cardiorespiratory responses', 'education abstract_missing_fallback_to_title']","['Propulsion kinetics of recumbent handcycling during high and moderate intensity exercise.', 'Moving forward: A review of continuous kinetics and kinematics during wheelchair and handcycling propulsion', 'The influence of gender on shoulder kinematics and head-hip technique during non-level transfers in full-time wheelchair users.']","Research areas: Robotics & Intelligent Systems, Materials & Solid Mechanics, Systems, Education & Interdisciplinary. Key topics: training hiit, wheelchair users, abstract_missing_fallback_to_title, shoulder handcycling, gender shoulder, wheelchair handcycling. Representative papers: Propulsion kinetics of recumbent handcycling during high and moderate intensity exercise.."
Kevin E. Wandke,UIUC,12,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary']","['simulations soft', 'soft robotics', 'soft robots', 'multiphysics computational', 'harvest loss', 'video demonstrations', 'pneumatic actuator', 'simulate contact', 'hyperelastic pendulum', 'mpinn specifically']","['MOOSE-based Finite Element Hyperelastic Modeling for Soft Robot Simulations', 'An Efficient Framework for the Solution of Contact Mechanics Problems in Soft Robotics', 'Physics-Based Finite Element Simulation of the Dynamics of Soft Robots']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary. Key topics: simulations soft, soft robotics, soft robots, multiphysics computational, harvest loss, video demonstrations. Representative papers: MOOSE-based Finite Element Hyperelastic Modeling for Soft Robot Simulations."
Kevin Wise,UIUC,20,"['Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena']","['control aerospace', 'abstract_missing_fallback_to_title', 'robust adaptive', 'aircraft abstract_missing_fallback_to_title', 'flight control', 'control abstract_missing_fallback_to_title', 'missile dynamics', 'reconfigurable control', 'adaptive flight', 'stability flying']","['Robust and Adaptive Control: With Aerospace Applications', 'DIRECT ADAPTIVE RECONFIGURABLE FLIGHT CONTROL FOR A TAILLESS ADVANCED FIGHTER AIRCRAFT', 'Agile missile dynamics and control']","Research areas: Robotics & Intelligent Systems, Advanced Manufacturing & Devices, Systems, Education & Interdisciplinary. Key topics: control aerospace, abstract_missing_fallback_to_title, robust adaptive, aircraft abstract_missing_fallback_to_title, flight control, control abstract_missing_fallback_to_title. Representative papers: Robust and Adaptive Control: With Aerospace Applications."
Kyle C. Smith,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices', 'Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics', 'Robotics & Intelligent Systems']","['intercalation desalination', 'flow battery', 'flow batteries', 'electrochemical desalination', 'electrochemical separations', 'electrodes desalinated', 'battery electrolytes', 'electrodes desalination', 'electrode suspensions', 'electrodes graphite']","['Nickel Hexacyanoferrate Electrodes for Continuous Cation Intercalation Desalination of Brackish Water', 'Polysulfide flow batteries enabled by percolating nanoscale conductor networks.', 'Na-Ion Desalination (NID) Enabled by Na-Blocking Membranes and Symmetric Na-Intercalation: Porous-Electrode Modeling']","Research areas: Thermal-Fluid & Transport Phenomena, Advanced Manufacturing & Devices, Biomedical & Biomechanical Engineering. Key topics: intercalation desalination, flow battery, flow batteries, electrochemical desalination, electrochemical separations, electrodes desalinated. Representative papers: Nickel Hexacyanoferrate Electrodes for Continuous Cation Intercalation Desalination of Brackish Water."
Leonardo Chamorro,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['wind turbine', 'abstract_missing_fallback_to_title', 'turbulent flow', 'surface roughness', 'turbulence wake', 'wakes wind', 'turbine wake', 'wind turbines', 'microscale fliers', 'aerodynamics wind']","['A Wind-Tunnel Investigation of Wind-Turbine Wakes: Boundary-Layer Turbulence Effects', 'Effects of Thermal Stability and Incoming Boundary-Layer Flow Characteristics on Wind-Turbine Wakes: A Wind-Tunnel Study', 'On the interaction between a turbulent open channel flow and an axial-flow turbine']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Materials & Solid Mechanics. Key topics: wind turbine, abstract_missing_fallback_to_title, turbulent flow, surface roughness, turbulence wake, wakes wind. Representative papers: A Wind-Tunnel Investigation of Wind-Turbine Wakes: Boundary-Layer Turbulence Effects."
Lili Cai,UIUC,20,"['Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering', 'Advanced Manufacturing & Devices', 'Robotics & Intelligent Systems']","['aroma components', 'abstract_missing_fallback_to_title', 'microgrid scheduling', 'apricot taste', 'vehicle sound', 'maple concretes', 'pyrolysis tryptophan', 'maple concrete', '京大機械翻訳 abstract_missing_fallback_to_title', 'uncertainty abstract_missing_fallback_to_title']","['Research on Multi-energy Microgrid Scheduling Optimization Model Based on Renewable Energy Uncertainty', 'Application of subcritical extraction technology to reducing tar delivery and hazardous components in cigarettes', 'Determination of targeted components in sour apricot taste tobacco flavor and optimization of its preparation technology']","Research areas: Materials & Solid Mechanics, Systems, Education & Interdisciplinary, Biomedical & Biomechanical Engineering. Key topics: aroma components, abstract_missing_fallback_to_title, microgrid scheduling, apricot taste, vehicle sound, maple concretes. Representative papers: Research on Multi-energy Microgrid Scheduling Optimization Model Based on Renewable Energy Uncertainty."
M Taher A. Saif,UIUC,20,"['Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['abstract_missing_fallback_to_title', 'materials abstract_missing_fallback_to_title', 'films abstract_missing_fallback_to_title', 'bending stage', 'mechanical characterization', 'strain gradient', 'specimens sem', 'micromechanical bistable', 'deformed nanocrystalline', 'force sensors']","['Strain gradient effect in nanoscale thin films', 'In-situ tensile testing of nano-scale specimens in SEM and TEM', 'On a tunable bistable MEMS-theory and experiment']","Research areas: Materials & Solid Mechanics, Thermal-Fluid & Transport Phenomena, Biomedical & Biomechanical Engineering. Key topics: abstract_missing_fallback_to_title, materials abstract_missing_fallback_to_title, films abstract_missing_fallback_to_title, bending stage, mechanical characterization, strain gradient. Representative papers: Strain gradient effect in nanoscale thin films."
M. Quinn Brewster,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering']","['cloud droplets', 'distillation infrared', 'thermal radiative', 'radiative transfer', 'deflagration hmx', 'laminate propellants', 'light scattering', 'ballistics simulation', 'propellant surface', 'flames visible']","['Thermal Radiative Transfer and Properties', 'RADIATIVE TRANSFER IN PACKED/FLUIDIZED BEDS: DEPENDENT VS. INDEPENDENT SCATTERING.', 'Steady Deflagration of HMX With Simple Kinetics: A Gas Phase Chain Reaction Model']","Research areas: Thermal-Fluid & Transport Phenomena, Advanced Manufacturing & Devices, Robotics & Intelligent Systems. Key topics: cloud droplets, distillation infrared, thermal radiative, radiative transfer, deflagration hmx, laminate propellants. Representative papers: Thermal Radiative Transfer and Properties."
Mariana E. Kersh,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Biomedical & Biomechanical Engineering', 'Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices']","['muscle architectural', 'trabecular bone', 'strain contraction', 'image registration', 'dti observed', 'physical activity', 'articular cartilage', 'femoral strain', 'fracture risk', 'energy femoral']","['Physical activity when young provides lifelong benefits to cortical bone size and strength in men', 'Mechanical properties of normal and osteoarthritic human articular cartilage.', 'Mechanical Loading of the Femoral Neck in Human Locomotion']","Research areas: Thermal-Fluid & Transport Phenomena, Biomedical & Biomechanical Engineering, Systems, Education & Interdisciplinary. Key topics: muscle architectural, trabecular bone, strain contraction, image registration, dti observed, physical activity. Representative papers: Physical activity when young provides lifelong benefits to cortical bone size and strength in men."
Martin Ostoja-Starzewski,UIUC,20,"['Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['microstructural randomness', 'elastic anisotropy', 'spatial randomness', 'lattice spring', 'thermoelasticity theory', 'materials abstract_missing_fallback_to_title', 'naca0015 hydrofoil', 'elasticity random', 'composites micropolar', 'elasticity cylindrical']","['Universal elastic anisotropy index.', 'Material spatial randomness: From statistical to representative volume element☆', 'Lattice models in micromechanics']","Research areas: Materials & Solid Mechanics, Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena. Key topics: microstructural randomness, elastic anisotropy, spatial randomness, lattice spring, thermoelasticity theory, materials abstract_missing_fallback_to_title. Representative papers: Universal elastic anisotropy index.."
Matthew West,UIUC,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices', 'Thermal-Fluid & Transport Phenomena']","['integrators abstract_missing_fallback_to_title', 'variational integrators', 'graph neural', 'sites mitochondrial', 'large abstract_missing_fallback_to_title', 'gravitational wave', 'endosomes microtubules', 'aerosol mixing', 'variational collision', 'students achieve']","['ER Tubules Mark Sites of Mitochondrial Division', 'Discrete mechanics and variational integrators', ""Bayesian factor regression models in the''large p""]","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Advanced Manufacturing & Devices. Key topics: integrators abstract_missing_fallback_to_title, variational integrators, graph neural, sites mitochondrial, large abstract_missing_fallback_to_title, gravitational wave. Representative papers: ER Tubules Mark Sites of Mitochondrial Division."
Mattia Gazzola,UIUC,20,"['Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics']","['soft robotic', 'phototactic guidance', 'locomotion abstract_missing_fallback_to_title', 'dynamics filaments', 'multiple swimmers', 'fish abstract_missing_fallback_to_title', 'swimmers actuated', 'modelling swimmers', 'propelled swimmers', 'musculoskeletal architectures']","['Phototactic guidance of a tissue-engineered soft-robotic ray', 'Scaling macroscopic aquatic locomotion', 'Forward and inverse problems in the mechanics of soft filaments']","Research areas: Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena, Systems, Education & Interdisciplinary. Key topics: soft robotic, phototactic guidance, locomotion abstract_missing_fallback_to_title, dynamics filaments, multiple swimmers, fish abstract_missing_fallback_to_title. Representative papers: Phototactic guidance of a tissue-engineered soft-robotic ray."
Mickey Clemon,UIUC,12,"['Materials & Solid Mechanics', 'Advanced Manufacturing & Devices', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary']","['additive manufacturing', 'granulated recycled', 'modeling printers', '316l stainless', 'laser additive', 'material additives', 'fused deposition', 'review laser', 'tool abstract_missing_fallback_to_title', 'metallurgical evolution']","['Process-Structure-Property Relationships for 316L Stainless Steel Fabricated by Additive Manufacturing and Its Implication for Component Engineering', 'On the tolerable limits of granulated recycled material additives to maintain structural integrity', 'Uncertainty and Variability of Energy and Material Use by Fused Deposition Modeling Printers in Makerspaces']","Research areas: Materials & Solid Mechanics, Advanced Manufacturing & Devices, Robotics & Intelligent Systems. Key topics: additive manufacturing, granulated recycled, modeling printers, 316l stainless, laser additive, material additives. Representative papers: Process-Structure-Property Relationships for 316L Stainless Steel Fabricated by Additive Manufacturing and Its Implication for Component Engineering."
Nazanin Farjam,UIUC,18,"['Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices', 'Robotics & Intelligent Systems']","['electrohydrodynamic jet', 'jet printing', 'additive manufacturing', 'printing additive', 'printing electrohydrodynamic', 'photolithography printing', 'jet printers', 'extrusion based', 'color response', 'patterning polymer']","['Area-Selective Atomic Layer Deposition Patterned by Electrohydrodynamic Jet Printing for Additive Manufacturing of Functional Materials and Devices.', 'Subtractive patterning: High-resolution electrohydrodynamic jet printing with solvents', 'Integrating Structural Colors with Additive Manufacturing Using Atomic Layer Deposition.']","Research areas: Thermal-Fluid & Transport Phenomena, Advanced Manufacturing & Devices, Robotics & Intelligent Systems. Key topics: electrohydrodynamic jet, jet printing, additive manufacturing, printing additive, printing electrohydrodynamic, photolithography printing. Representative papers: Area-Selective Atomic Layer Deposition Patterned by Electrohydrodynamic Jet Printing for Additive Manufacturing of Functional Materials and Devices.."
Nenad Miljkovic,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Robotics & Intelligent Systems', 'Advanced Manufacturing & Devices']","['superhydrophobic surfaces', 'heat transfer', 'superhydrophobic nanostructured', 'abstract_missing_fallback_to_title', 'phase change', 'surfaces abstract_missing_fallback_to_title', 'solar steam', 'heating nanofluids', 'droplets jump', 'dropwise condensation']","['Solar steam generation by heat localization', 'Jumping-droplet-enhanced condensation on scalable superhydrophobic nanostructured surfaces.', 'Effect of droplet morphology on growth dynamics and heat transfer during condensation on superhydrophobic nanostructured surfaces.']","Research areas: Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics, Systems, Education & Interdisciplinary. Key topics: superhydrophobic surfaces, heat transfer, superhydrophobic nanostructured, abstract_missing_fallback_to_title, phase change, surfaces abstract_missing_fallback_to_title. Representative papers: Solar steam generation by heat localization."
Nick G. Glumac,UIUC,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Materials & Solid Mechanics', 'Biomedical & Biomechanical Engineering', 'Thermal-Fluid & Transport Phenomena']","['emission spectra', 'detonation fireballs', 'explosive detonation', 'temperature h2o', 'combustion nanoaluminum', 'particle combustion', 'flame fronts', 'laboratory curriculums', 'piv uncertainty', 'aluminum particles']","['Combustion of nanoaluminum at elevated pressure and temperature behind reflected shock waves', 'Evidence for the transition from the diffusion-limit in aluminum particle combustion', 'Emission spectroscopy of flame fronts in aluminum suspensions']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Materials & Solid Mechanics. Key topics: emission spectra, detonation fireballs, explosive detonation, temperature h2o, combustion nanoaluminum, particle combustion. Representative papers: Combustion of nanoaluminum at elevated pressure and temperature behind reflected shock waves."
Nikhil Chandra Admal,UIUC,20,"['Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices', 'Biomedical & Biomechanical Engineering']","['grain boundary', 'abstract_missing_fallback_to_title', 'grain boundaries', 'stress molecular', 'dislocations anisotropic', 'polycrystal plasticity', 'elastic tensors', 'multibody potentials', 'beltrami representation', 'elasticity green']","['A Unified Interpretation of Stress in Molecular Systems', 'A non-singular theory of dislocations in anisotropic crystals', 'A unified framework for polycrystal plasticity with grain boundary evolution']","Research areas: Materials & Solid Mechanics, Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena. Key topics: grain boundary, abstract_missing_fallback_to_title, grain boundaries, stress molecular, dislocations anisotropic, polycrystal plasticity. Representative papers: A Unified Interpretation of Stress in Molecular Systems."
Paul Fischer,UIUC,20,"['Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics', 'Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Advanced Manufacturing & Devices']","['air pollution', 'pollution mortality', 'spatial variation', 'european cohorts', 'pollution netherlands', 'pollution lung', 'air quality', 'land use', 'traffic asthma', 'pollution map']","['Association between mortality and indicators of traffic-related air pollution in the Netherlands: a cohort study', 'Air pollution and lung cancer incidence in 17 European cohorts: prospective analyses from the European Study of Cohorts for Air Pollution Effects (ESCAPE).', 'A review of land-use regression models to assess spatial variation of outdoor air pollution']","Research areas: Biomedical & Biomechanical Engineering, Materials & Solid Mechanics, Robotics & Intelligent Systems. Key topics: air pollution, pollution mortality, spatial variation, european cohorts, pollution netherlands, pollution lung. Representative papers: Association between mortality and indicators of traffic-related air pollution in the Netherlands: a cohort study."
Petros Sofronis,UIUC,20,"['Materials & Solid Mechanics', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering', 'Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena']","['hydrogen embrittlement', 'abstract_missing_fallback_to_title', 'understood abstract_missing_fallback_to_title', 'hydrogen attack', 'model hydrogen', 'hydrogen induced', 'understood', 'fracture lath', 'analysis hydrogen', 'fracture steel']","['Numerical analysis of hydrogen transport near a blunting crack tip', 'Hydrogen Embrittlement Understood', 'A statistical, physical-based, micro-mechanical model of hydrogen-induced intergranular fracture in steel']","Research areas: Materials & Solid Mechanics, Systems, Education & Interdisciplinary, Biomedical & Biomechanical Engineering. Key topics: hydrogen embrittlement, abstract_missing_fallback_to_title, understood abstract_missing_fallback_to_title, hydrogen attack, model hydrogen, hydrogen induced. Representative papers: Numerical analysis of hydrogen transport near a blunting crack tip."
Placid Ferreira,UIUC,20,"['Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary', 'Biomedical & Biomechanical Engineering']","['abstract_missing_fallback_to_title', 'electrohydrodynamic jet', 'emitting diodes', 'solar microcells', 'jet printing', 'elastomeric surfaces', 'kinematic micropositioning', 'computation stiffness', 'jerk constraints', 'deadlock avoidance']","['High-resolution electrohydrodynamic jet printing.', 'Printed Assemblies of Inorganic Light-Emitting Diodes for Deformable and Semitransparent Displays', 'Ultrathin silicon solar microcells for semitransparent, mechanically flexible and microconcentrator module designs.']","Research areas: Robotics & Intelligent Systems, Materials & Solid Mechanics, Advanced Manufacturing & Devices. Key topics: abstract_missing_fallback_to_title, electrohydrodynamic jet, emitting diodes, solar microcells, jet printing, elastomeric surfaces. Representative papers: High-resolution electrohydrodynamic jet printing.."
Prashant Mehta,UIUC,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Thermal-Fluid & Transport Phenomena']","['nonlinear filtering', 'ensemble kalman', 'optimal control', 'energy shaping', 'platoon dynamics', 'dynamic programming', 'particle filter', 'convex nash', 'coupled oscillators', 'thermal model']","['Mistuning-Based Control Design to Improve Closed-Loop Stability Margin of Vehicular Platoons', 'Learning in Mean-Field Games', 'Feedback Particle Filter']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Thermal-Fluid & Transport Phenomena. Key topics: nonlinear filtering, ensemble kalman, optimal control, energy shaping, platoon dynamics, dynamic programming. Representative papers: Mistuning-Based Control Design to Improve Closed-Loop Stability Margin of Vehicular Platoons."
Randy H. Ewoldt,UIUC,20,"['Biomedical & Biomechanical Engineering', 'Thermal-Fluid & Transport Phenomena', 'Materials & Solid Mechanics', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary']","['nonlinear viscoelasticity', 'metathesis polymerization', 'yield stress', 'oscillatory shear', 'helicobacter pylori', 'shear pseudoplastic', 'gastric mucin', 'shear rheology', 'rheology microgel', 'gastropod pedal']","['A review of nonlinear oscillatory shear tests: Analysis and application of large amplitude oscillatory shear (LAOS)', 'New measures for characterizing nonlinear viscoelasticity in large amplitude oscillatory shear', 'Helicobacter pylori moves through mucus by reducing mucin viscoelasticity']","Research areas: Biomedical & Biomechanical Engineering, Thermal-Fluid & Transport Phenomena, Materials & Solid Mechanics. Key topics: nonlinear viscoelasticity, metathesis polymerization, yield stress, oscillatory shear, helicobacter pylori, shear pseudoplastic. Representative papers: A review of nonlinear oscillatory shear tests: Analysis and application of large amplitude oscillatory shear (LAOS)."
Sameh Tawfick,UIUC,20,"['Thermal-Fluid & Transport Phenomena', 'Robotics & Intelligent Systems', 'Materials & Solid Mechanics', 'Advanced Manufacturing & Devices', 'Systems, Education & Interdisciplinary']","['metathesis polymerization', 'carbon nanotubes', 'nanostructured surfaces', 'microarchitectures capillary', 'membrane nanoindentation', 'nanotube growth', 'stroke electroosmotic', 'origami folding', 'nanotube interconnects', 'nanotube micropillars']","['Carbon Nanotubes: Present and Future Commercial Applications', 'Engineering of Micro‐ and Nanostructured Surfaces with Anisotropic Geometries and Properties', 'Diverse 3D Microarchitectures Made by Capillary Forming of Carbon Nanotubes']","Research areas: Thermal-Fluid & Transport Phenomena, Robotics & Intelligent Systems, Materials & Solid Mechanics. Key topics: metathesis polymerization, carbon nanotubes, nanostructured surfaces, microarchitectures capillary, membrane nanoindentation, nanotube growth. Representative papers: Carbon Nanotubes: Present and Future Commercial Applications."
Sanjiv Sinha,UIUC,20,"['Robotics & Intelligent Systems', 'Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices', 'Biomedical & Biomechanical Engineering', 'Materials & Solid Mechanics']","['cellular thermometry', 'biochemical pathways', 'pathways abstract_missing_fallback_to_title', 'thermal resistance', 'disulfide mos2', 'silicon nanowires', 'silicon nanowire', 'stretchable thermal', 'phonon conduction', 'fouling modeling']","['Heat Generation and Transport in Nanometer-Scale Transistors', '2-D Material Molybdenum Disulfide Analyzed by XPS', 'Porosity control in metal-assisted chemical etching of degenerately doped silicon nanowires']","Research areas: Robotics & Intelligent Systems, Thermal-Fluid & Transport Phenomena, Advanced Manufacturing & Devices. Key topics: cellular thermometry, biochemical pathways, pathways abstract_missing_fallback_to_title, thermal resistance, disulfide mos2, silicon nanowires. Representative papers: Heat Generation and Transport in Nanometer-Scale Transistors."
Sascha Hilgenfeldt,UIUC,20,"['Robotics & Intelligent Systems', 'Systems, Education & Interdisciplinary', 'Materials & Solid Mechanics', 'Thermal-Fluid & Transport Phenomena', 'Advanced Manufacturing & Devices']","['bubble sonoluminescence', 'sonoluminescence abstract_missing_fallback_to_title', 'foam drainage', 'particle packings', 'single bubble', 'overjammed states', 'vesicle deformation', 'coated bubbles', 'sonoluminescing bubbles', 'coarsening foams']","['Controlled vesicle deformation and lysis by single oscillating bubbles', 'A model for large amplitude oscillations of coated bubbles accounting for buckling and rupture', 'Single bubble sonoluminescence']","Research areas: Robotics & Intelligent Systems, Systems, Education & Interdisciplinary, Materials & Solid Mechanics. Key topics: bubble sonoluminescence, sonoluminescence abstract_missing_fallback_to_title, foam drainage, particle packings, single bubble, overjammed states. Representative papers: Controlled vesicle deformation and lysis by single oscillating bubbles."
